--- Alle Annotationen ---
bias_id,sabine_type,tom_type,sabine_comment
1,10,10,
2,10,10,
3,10,10,
4,10,10,
5,10,10,
6,10,10,
7,10,10,
8,10,10,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,6,6,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,10,10,
19,0,0,
20,0,0,
21,0,0,
22,0,0,Beschwerde wird gutgeheißen von daher ist der Bias nicht negativ zu werten
23,0,0,
24,9,9,
25,5,5,
26,0,0,
27,0,0,
28,10,10,
29,0,6,
30,0,0,
31,0,0,
32,0,0,
33,6,6,
34,0,0,
35,0,0,
36,0,6,
37,0,0,
38,0,0,
39,0,0,
40,0,0,
41,0,3,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,0,0,
48,8,8,
49,0,0,
50,10,10,
51,10,10,
52,10,10,
53,10,10,
54,10,10,
55,10,10,
56,10,10,
57,10,10,
58,10,10,
59,9,9,
60,0,0,
61,0,0,
62,0,0,
63,0,0,
64,0,0,
65,0,0,
66,0,0,
67,0,0,
68,0,0,Autofahrer können sich eingeschriebene Briefe leisten
69,0,0,"Die Schweiz ist dreisprachig, daher ist die Nationalität hier nicht maßgebend"
70,0,0,
71,0,0,
72,0,0,
73,0,3,
74,0,0,
75,0,0,
76,0,0,
77,9,9,
78,0,0,
79,0,0,Textpassage passt nicht zur Begründung
80,0,0,
81,0,0,
82,0,0,
83,0,0,
84,0,0,"Kein Bias, da zum Vorteil des Beschwerdeführers entschieden wurde"
85,0,0,
86,0,0,
87,10,10,
88,10,10,
89,0,0,
90,0,0,
91,0,0,
92,0,0,
93,0,0,
94,0,0,
95,0,0,
96,0,0,
97,0,0,
98,0,0,
99,10,10,
100,0,0,
101,10,10,
102,10,10,
103,0,0,
104,10,10,
105,0,0,
106,0,0,
107,0,0,
108,0,0,
109,0,0,"Kein Bias des Gerichts, sondern des Beschwerdeführers"
110,0,0,
111,0,0,
112,0,0,
113,3,3,
114,0,0,
115,0,0,
116,0,0,
117,0,0,
118,0,0,
119,9,9,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,3,0,
126,0,0,
127,0,0,
128,10,10,
129,0,0,
130,0,0,
131,0,0,
132,0,0,
133,0,0,
134,10,10,
135,10,10,
136,10,10,
137,10,10,
138,10,10,
139,10,10,
140,10,10,
141,10,10,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,0,
153,0,0,
154,0,0,
155,0,0,
156,0,0,
157,0,0,
158,0,0,
159,0,0,
160,0,0,
161,0,0,
162,1,0,
163,0,0,
164,0,0,
165,0,0,
166,0,0,
167,0,0,
168,0,0,
169,0,0,
170,9,9,
171,10,10,
172,10,10,
173,0,0,
174,0,0,
175,0,0,
176,0,0,
177,0,0,
178,0,0,
179,0,0,
180,0,0,
181,0,0,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,0,0,
188,0,0,
189,0,0,
190,0,0,
191,0,0,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,10,10,
203,0,0,
204,0,0,
205,0,0,
206,0,0,
207,0,0,
208,0,0,
209,0,0,
210,0,0,
211,0,0,
212,10,10,
213,10,10,
214,10,10,
215,10,10,
216,10,10,
217,10,10,
218,10,10,
219,0,0,
220,0,0,
221,0,0,
222,0,0,
223,0,0,
